scorer,filename,courtship_score,confidence_score,folder
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0001_arena_1_20250307_173848_662.jpg,0.40,0.58,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0001_arena_2_20250307_173848_662.jpg,0.99,0.89,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0001_arena_3_20250307_173848_662.jpg,0.10,0.80,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0001_arena_4_20250307_173848_662.jpg,0.10,0.80,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0001_arena_5_20250307_173848_662.jpg,0.11,0.90,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0001_arena_6_20250307_173848_662.jpg,0.10,0.90,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0002_arena_1_20250307_173849_989.jpg,0.10,0.90,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0002_arena_2_20250307_173849_989.jpg,0.01,0.99,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0002_arena_3_20250307_173849_989.jpg,0.00,0.90,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0002_arena_4_20250307_173849_989.jpg,0.01,0.89,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0002_arena_5_20250307_173849_989.jpg,0.01,0.89,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0002_arena_6_20250307_173849_989.jpg,0.20,0.60,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0003_arena_1_20250307_173851_257.jpg,0.00,0.88,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0003_arena_2_20250307_173851_257.jpg,0.02,0.90,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0003_arena_3_20250307_173851_257.jpg,0.01,0.89,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0003_arena_4_20250307_173851_257.jpg,0.01,0.89,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0003_arena_5_20250307_173851_257.jpg,0.01,0.90,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0003_arena_6_20250307_173851_257.jpg,0.01,0.89,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0004_arena_1_20250307_173852_454.jpg,0.00,0.89,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0004_arena_2_20250307_173852_454.jpg,0.01,0.90,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0004_arena_3_20250307_173852_454.jpg,0.01,0.90,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0004_arena_4_20250307_173852_454.jpg,0.01,0.90,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0004_arena_5_20250307_173852_454.jpg,0.01,0.90,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
