scorer,filename,courtship_score,confidence_score,folder
ggilestro,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0001_arena_1_20250307_173848_662.jpg,0.81,0.59,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
ggilestro,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0001_arena_2_20250307_173848_662.jpg,0.06,0.06,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
ggilestro,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0001_arena_3_20250307_173848_662.jpg,0.50,0.78,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
ggilestro,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0001_arena_4_20250307_173848_662.jpg,0.27,0.22,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
ggilestro,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0001_arena_5_20250307_173848_662.jpg,0.18,0.26,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
ggilestro,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0001_arena_6_20250307_173848_662.jpg,0.76,0.49,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
ggilestro,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0002_arena_1_20250307_173849_989.jpg,0.50,0.50,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
ggilestro,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0002_arena_2_20250307_173849_989.jpg,0.18,0.13,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
ggilestro,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0002_arena_3_20250307_173849_989.jpg,0.11,0.81,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
ggilestro,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0002_arena_4_20250307_173849_989.jpg,0.10,0.77,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
ggilestro,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0002_arena_5_20250307_173849_989.jpg,0.10,0.84,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
ggilestro,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0002_arena_6_20250307_173849_989.jpg,0.09,0.86,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
ggilestro,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0003_arena_1_20250307_173851_257.jpg,0.84,0.59,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
